record_id,call_failure,complains,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,age_group,tariff_plan,status,age,customer_value,fn,fp,churn,complaint_label,tariff_label,status_label,churn_label,tenure_band,call_activity_band,sms_activity_band,retention_priority_score,retention_priority
112,6,1,36,0,2178,51,3,15,3,1,2,30,101.16,91.044,60.116,0,Complaint,Pay as you go,Non-active,Retained,25–36 months,26–75 calls,1–25 SMS,8,High
117,0,0,35,0,815,11,0,9,2,1,2,25,37.17,33.453,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
118,0,0,36,0,650,11,8,6,2,1,2,25,65.745,59.1705,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
119,0,0,35,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
128,6,1,34,0,2208,41,29,29,3,1,2,30,205.96,185.364,70.596,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
129,0,1,34,0,0,0,0,0,3,1,2,30,0,0,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,10,High
132,0,0,34,0,568,4,4,2,4,1,2,45,24.3,21.87,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,7,High
141,8,0,25,0,640,22,5,5,2,1,2,25,52.29,47.061,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
142,0,1,24,0,765,7,16,1,4,1,2,45,59.3,53.37,60,1,Complaint,Pay as you go,Non-active,Churned,13–24 months,1–25 calls,1–25 SMS,10,High
152,1,1,43,0,398,7,17,8,3,1,2,30,84.2,75.78,60,1,Complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,10,High
167,1,0,41,0,955,16,10,15,2,1,2,25,88.695,79.8255,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
168,3,0,42,0,790,16,23,12,3,1,2,30,124.24,111.816,62.424,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
169,1,0,41,0,80,2,10,4,2,1,2,25,48.69,43.821,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
173,24,1,37,0,1035,49,26,21,3,1,2,30,147.36,132.624,64.736,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
178,10,1,40,0,2348,46,44,35,3,1,2,30,271.76,244.584,77.176,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
179,1,0,40,0,213,4,10,6,3,1,2,30,48.68,43.812,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
182,1,1,40,0,708,9,19,8,4,1,2,45,65.425,58.8825,60,1,Complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,10,High
202,0,0,35,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,No calls,No SMS,7,High
217,0,0,33,0,795,12,0,7,2,1,2,25,36.315,32.6835,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
218,1,0,34,0,630,12,3,4,2,1,2,25,42.39,38.151,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
219,0,0,33,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
227,8,1,31,0,2910,39,0,12,3,1,2,30,117.96,106.164,61.796,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,No SMS,8,High
229,0,1,32,0,0,0,0,0,3,1,2,30,0,0,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,10,High
232,0,0,32,0,0,0,0,0,4,1,2,45,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
241,10,0,23,0,620,23,0,3,2,1,2,25,28.935,26.0415,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,1–25 calls,No SMS,7,High
242,0,0,22,0,0,0,11,0,4,1,2,45,27.5,24.75,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,No calls,1–25 SMS,7,High
252,5,0,45,0,578,15,22,10,3,1,2,30,111.72,100.548,61.172,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
262,14,1,44,0,2498,64,23,23,3,1,2,30,194.48,175.032,69.448,0,Complaint,Pay as you go,Non-active,Retained,37+ months,26–75 calls,1–25 SMS,8,High
267,5,0,43,0,1135,24,15,17,2,1,2,25,119.655,107.6895,61.9655,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
269,5,0,43,0,260,10,15,6,2,1,2,25,79.65,71.685,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
273,28,1,39,0,1215,57,31,23,3,1,2,30,174.88,157.392,67.488,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
277,14,1,41,0,3250,51,24,22,3,1,2,30,228.04,205.236,72.804,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,1–25 SMS,8,High
278,14,1,42,0,2528,54,49,37,4,1,2,45,187.05,168.345,68.705,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
279,5,0,42,0,393,12,15,8,3,1,2,30,76.2,68.58,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
282,5,0,42,0,888,17,24,10,4,1,2,45,82.625,74.3625,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
302,0,0,33,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,No calls,No SMS,7,High
317,0,0,31,0,615,4,0,5,2,1,2,25,27.855,25.0695,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
318,0,0,32,0,450,4,0,2,2,1,2,25,20.43,18.387,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
319,0,0,31,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
323,18,1,27,0,695,37,1,11,2,1,2,25,37.44,33.696,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
328,4,1,30,0,2008,34,19,25,3,1,2,30,157.68,141.912,65.768,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
329,0,0,30,0,0,0,0,0,3,1,2,30,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
332,0,1,30,0,0,0,0,0,4,1,2,45,0,0,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,10,High
333,0,1,30,0,0,0,0,0,5,1,1,55,0,0,60,1,Complaint,Pay as you go,Active,Churned,25–36 months,No calls,No SMS,7,High
341,6,0,21,0,440,15,0,1,2,1,2,25,20.475,18.4275,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,1–25 calls,No SMS,7,High
342,0,0,20,0,0,0,6,0,4,1,2,45,15,13.5,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,No calls,1–25 SMS,7,High
350,0,1,3,0,1228,9,0,1,2,1,1,25,55.665,50.0985,60,1,Complaint,Pay as you go,Active,Churned,0–12 months,1–25 calls,No SMS,8,High
352,2,0,42,0,498,13,18,9,2,1,2,25,103.995,93.5955,60.3995,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
367,2,0,40,0,1055,22,11,16,2,1,2,25,97.965,88.1685,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
368,4,0,41,0,890,22,24,13,3,1,2,30,132.48,119.232,63.248,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
369,2,0,40,0,180,8,11,5,2,1,2,25,57.96,52.164,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
373,25,1,36,0,1135,55,27,22,2,1,2,25,175.05,157.545,67.505,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
377,11,1,38,0,3170,49,20,21,3,1,2,30,208.76,187.884,70.876,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,1–25 SMS,8,High
378,11,1,39,0,2448,52,45,36,3,1,2,30,280,252,78,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
379,2,1,39,0,313,10,11,7,3,1,2,30,56.92,51.228,60,1,Complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,10,High
382,2,0,39,0,808,15,20,9,4,1,2,45,70.575,63.5175,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
402,0,0,36,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,No calls,No SMS,7,High
417,0,0,34,0,695,6,0,6,2,1,2,25,31.545,28.3905,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
418,0,0,35,0,530,6,2,3,3,1,2,30,29.44,26.496,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
419,0,1,34,0,0,0,0,0,2,1,2,25,0,0,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,10,High
423,21,1,30,0,775,39,5,12,2,1,2,25,59.13,53.217,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
428,7,1,33,0,2088,36,23,26,3,1,2,30,176.96,159.264,67.696,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
429,0,0,33,0,0,0,0,0,3,1,2,30,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
432,0,0,33,0,0,0,0,0,4,1,2,45,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
441,9,0,24,0,520,17,0,2,2,1,2,25,24.165,21.7485,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,1–25 calls,No SMS,7,High
442,0,0,23,0,0,0,10,0,4,1,2,45,25,22.5,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,No calls,1–25 SMS,7,High
467,4,0,37,0,1475,24,21,26,2,1,2,25,161.955,145.7595,66.1955,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
469,4,0,37,0,600,10,21,15,2,1,2,25,121.95,109.755,62.195,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
473,27,1,33,0,1555,57,37,32,3,1,2,30,212.48,191.232,71.248,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
477,13,1,35,0,3590,51,30,31,3,1,2,30,265.64,239.076,76.564,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
478,13,1,36,0,2868,54,55,46,3,1,2,30,336.88,303.192,83.688,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
479,4,0,36,0,733,12,21,17,3,1,2,30,113.8,102.42,61.38,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,7,High
487,7,1,35,0,2265,54,59,35,3,1,2,30,328.76,295.884,82.876,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
502,0,0,39,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,No calls,No SMS,7,High
517,0,0,37,0,275,4,0,1,2,1,2,25,12.555,11.2995,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,No SMS,7,High
518,0,0,38,0,110,4,0,1,2,1,2,25,5.13,4.617,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,No SMS,7,High
519,0,0,37,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,No calls,No SMS,7,High
529,0,0,36,0,0,0,0,0,3,1,2,30,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
532,0,0,36,0,0,0,0,0,4,1,2,45,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
541,7,0,27,0,100,15,0,3,2,1,2,25,5.175,4.6575,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
542,0,0,26,0,0,0,0,0,4,1,2,45,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,No calls,No SMS,7,High
550,0,1,9,0,888,9,0,3,3,1,1,30,35.88,32.292,60,1,Complaint,Pay as you go,Active,Churned,0–12 months,1–25 calls,No SMS,8,High
562,9,1,39,0,2353,60,40,21,3,1,2,30,256.52,230.868,75.652,0,Complaint,Pay as you go,Non-active,Retained,37+ months,26–75 calls,26–100 SMS,7,High
573,23,1,34,0,1070,53,48,21,3,1,2,30,236.92,213.228,73.692,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
577,9,1,36,0,3105,47,41,20,3,1,2,30,290.08,261.072,79.008,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
602,0,0,38,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,No calls,No SMS,7,High
617,0,0,36,0,760,8,0,7,2,1,2,25,34.56,31.104,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
618,2,0,37,0,595,8,0,4,2,1,2,25,27.135,24.4215,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,No SMS,7,High
619,0,1,36,0,0,0,0,0,2,1,2,25,0,0,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,10,High
627,9,1,34,0,2875,35,0,12,2,1,2,25,130.95,117.855,63.095,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,No SMS,8,High
629,0,0,35,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
632,0,0,35,0,513,1,0,3,4,1,2,45,12.85,11.565,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,No SMS,7,High
641,11,0,26,0,585,19,0,3,2,1,2,25,27.18,24.462,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
642,0,0,25,0,710,4,0,1,4,1,2,45,17.85,16.065,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
650,3,1,8,0,1373,13,0,3,2,1,1,25,62.37,56.133,60,1,Complaint,Pay as you go,Active,Churned,0–12 months,1–25 calls,No SMS,8,High
652,2,0,39,0,508,6,16,7,2,1,2,25,95.13,85.617,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
662,11,1,38,0,2428,55,17,20,3,1,2,30,167.32,150.588,66.732,0,Complaint,Pay as you go,Non-active,Retained,37+ months,26–75 calls,1–25 SMS,8,High
667,2,0,37,0,1065,15,9,14,2,1,2,25,89.1,80.19,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
668,4,0,38,0,900,15,22,11,3,1,2,30,124.6,112.14,62.46,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
669,2,0,37,0,190,1,9,3,2,1,2,25,49.095,44.1855,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
673,25,1,33,0,1145,48,25,20,2,1,2,25,166.185,149.5665,66.6185,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
677,11,1,35,0,3180,42,18,19,3,1,2,30,200.88,180.792,70.088,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
678,11,1,36,0,2458,45,43,34,3,1,2,30,272.12,244.908,77.212,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
679,2,0,36,0,323,3,9,5,3,1,2,30,49.04,44.136,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,7,High
682,2,0,36,0,818,8,18,7,4,1,2,45,65.65,59.085,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,7,High
702,0,0,39,0,128,4,0,1,2,1,2,25,5.94,5.346,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,No SMS,7,High
717,0,0,37,0,685,13,0,8,2,1,2,25,31.41,28.269,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,No SMS,7,High
718,0,0,38,0,520,13,4,5,3,1,2,30,37.32,33.588,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
719,0,0,37,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,No calls,No SMS,7,High
727,7,1,35,0,2800,40,0,13,3,1,2,30,113.6,102.24,61.36,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,No SMS,8,High
729,0,0,36,0,0,0,0,0,3,1,2,30,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
732,0,0,36,0,438,6,0,1,4,1,2,45,11.1,9.99,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,No SMS,7,High
741,9,0,27,0,510,24,1,4,2,1,2,25,28.53,25.677,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
742,0,0,26,0,635,9,12,1,4,1,2,45,46.1,41.49,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
752,0,0,34,0,318,4,0,3,2,1,2,25,14.49,13.041,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
762,7,1,33,0,2238,48,0,16,3,1,2,30,91.44,82.296,60,0,Complaint,Pay as you go,Non-active,Retained,25–36 months,26–75 calls,No SMS,8,High
767,0,0,32,0,875,8,0,10,2,1,2,25,39.735,35.7615,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
768,0,0,33,0,710,8,5,7,2,1,2,25,54.81,49.329,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,1–25 SMS,7,High
769,0,0,32,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
773,21,1,28,0,955,41,8,16,2,1,2,25,80.82,72.738,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
777,7,1,30,0,2990,35,1,15,2,1,2,25,140.625,126.5625,64.0625,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
778,7,1,31,0,2268,38,26,30,3,1,2,30,196.24,176.616,69.624,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,26–100 SMS,7,High
779,0,1,31,0,0,0,0,0,2,1,2,25,0,0,60,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,10,High
782,0,0,31,0,628,1,1,3,4,1,2,45,18.225,16.4025,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,1–25 calls,1–25 SMS,7,High
791,9,0,22,0,700,19,2,6,2,1,2,25,41.355,37.2195,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,1–25 calls,1–25 SMS,7,High
792,0,0,21,0,825,4,13,2,4,1,2,45,53.225,47.9025,60,0,No complaint,Pay as you go,Non-active,Retained,13–24 months,1–25 calls,1–25 SMS,7,High
802,2,0,44,0,318,11,15,5,3,1,2,30,73.16,65.844,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
812,11,1,43,0,2238,60,16,18,3,1,2,30,155.92,140.328,65.592,0,Complaint,Pay as you go,Non-active,Retained,37+ months,26–75 calls,1–25 SMS,8,High
817,2,0,42,0,875,20,8,12,2,1,2,25,76.275,68.6475,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
818,4,0,43,0,710,20,21,9,3,1,2,30,113.2,101.88,61.32,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
819,0,0,42,0,0,0,8,0,2,1,2,25,36,32.4,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,No calls,1–25 SMS,7,High
823,25,1,38,0,955,53,24,18,3,1,2,30,136.32,122.688,63.632,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,1–25 SMS,8,High
828,11,1,41,0,2268,50,42,32,4,1,2,45,162.95,146.655,66.295,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
829,2,0,41,0,133,8,8,3,3,1,2,30,37.64,33.876,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
832,2,0,41,0,628,13,17,5,4,1,2,45,58.525,52.6725,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
850,5,1,14,2,1487,25,8,8,3,1,1,30,92.48,83.232,60,1,Complaint,Pay as you go,Active,Churned,13–24 months,1–25 calls,1–25 SMS,7,High
852,6,0,40,0,1028,16,15,4,3,1,2,30,101.76,91.584,60.176,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
867,6,0,38,0,1585,25,8,11,2,1,2,25,108.45,97.605,60.845,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
868,8,0,39,0,1420,25,21,8,3,1,2,30,141.8,127.62,64.18,0,No complaint,Pay as you go,Non-active,Retained,37+ months,1–25 calls,1–25 SMS,7,High
869,6,0,38,0,710,11,8,2,2,1,2,25,68.445,61.6005,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
873,29,1,34,0,1665,58,24,17,3,1,2,30,164.92,148.428,66.492,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
877,15,1,36,0,3700,52,17,16,3,1,2,30,218.08,196.272,71.808,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,1–25 SMS,8,High
878,15,1,37,0,2978,55,42,31,3,1,2,30,289.32,260.388,78.932,1,Complaint,Pay as you go,Non-active,Churned,37+ months,26–75 calls,26–100 SMS,7,High
879,6,0,37,0,843,13,8,2,3,1,2,30,66.24,59.616,60,1,No complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,7,High
882,6,1,37,0,1338,18,17,4,4,1,2,45,76.4,68.76,60,1,Complaint,Pay as you go,Non-active,Churned,37+ months,1–25 calls,1–25 SMS,10,High
902,0,0,38,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,No calls,No SMS,7,High
917,0,0,36,0,165,3,0,11,2,1,2,25,7.56,6.804,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,1–25 calls,No SMS,7,High
918,0,0,37,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,37+ months,No calls,No SMS,7,High
919,0,0,36,0,0,0,0,0,2,1,2,25,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
927,3,1,34,0,2280,30,0,16,2,1,2,25,103.95,93.555,60.395,1,Complaint,Pay as you go,Non-active,Churned,25–36 months,26–75 calls,No SMS,8,High
929,0,0,35,0,0,0,0,0,3,1,2,30,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
932,0,0,35,0,0,0,0,0,4,1,2,45,0,0,60,1,No complaint,Pay as you go,Non-active,Churned,25–36 months,No calls,No SMS,7,High
941,0,0,26,0,0,0,0,0,2,1,2,25,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,No calls,No SMS,7,High
942,0,0,25,0,0,0,0,0,4,1,2,45,0,0,60,0,No complaint,Pay as you go,Non-active,Retained,25–36 months,No calls,No SMS,7,High
